company,title,count,title_norm,manual_department
Sopra Steria Consulting,Consultant,20,consultant,
Wells Fargo,Senior Securities Analyst III,12,senior securities analyst iii,
Greenwich Associates,Customer Experience Representative,33,customer experience representative,
Northwestern Mutual,Summer Analyst,13,summer analyst,
Nomura,M&A Analyst Intern,13,m&a analyst intern,
J.P. Morgan,Student Ambassador,117,student ambassador,
Itaú Unibanco,Analyst,14,analyst,
Merrill Lynch,MD,30,md,
Weichert Realtors,Realtor,69,realtor,
AmSouth Bank,Vice President,78,vice president,
SNL Financial,Financial Analyst,13,financial analyst,
Fidelity Investments,IT Consultant,22,it consultant,
TD,Assistant Manager,446,assistant manager,
Farmers Insurance,Insurance Adjuster,87,insurance adjuster,
Infosys Technologies Limited,Systems Engineer,21,systems engineer,
Axos Bank,Credit Analyst,12,credit analyst,
Suffolk County National Bank,Vice President,19,vice president,
Pace University,Adjunct Professor,28,adjunct professor,
Mars,KAM,31,kam,
Southwest Airlines,Ground Operations,13,ground operations,
Deloitte,Senior Tax Accountant,22,senior tax accountant,
Wells Fargo,Business Analyst,863,business analyst,
Trading Technologies,Account Manager,12,account manager,
West Monroe Partners,Consultant,25,consultant,
Best Buy,Samsung Experience Expert,17,samsung experience expert,
Morgan Stanley,M&A Associate,26,m&a associate,
IBM,Customer Care Specialist,13,customer care specialist,
BNY Mellon,"Senior Analyst, Client Service",18,senior analyst client service,
Nielsen,Summer Intern,18,summer intern,
Legg Mason,Analyst,16,analyst,
CIBC World Markets,Vice President,16,vice president,
Goldman Sachs,Risk Summer Analyst,18,risk summer analyst,
HSBC Bank Canada,Premium Banker,26,premium banker,
HSBC,Procurement Specialist,18,procurement specialist,
U.S. Bank,Senior Banker,440,senior banker,
Barclays Bank,Area Performance Manager,14,area performance manager,
Wells Fargo,Sales Team Lead,29,sales team lead,
Uber,Operations & Logistics Manager,35,operations & logistics manager,
Victoria's Secret,TAP Supervisor,25,tap supervisor,
BNP Paribas,Customer Service Officer,29,customer service officer,
Fifth Third Bank,Personal Banker 1,34,personal banker 1,
MetLife,Certified Financial Planner,21,certified financial planner,
U.S. Bank,CDO Analyst,51,cdo analyst,
PwC Consulting,Consultant,106,consultant,
Federal Reserve Bank of San Francisco,Bank Examiner,18,bank examiner,
Stock Yards Bank & Trust,Customer Service Representative,15,customer service representative,
Credit Suisse,Investment Banking Summer Intern,27,investment banking summer intern,
Credit Suisse,Relationship Manager,857,relationship manager,
Yelp,Account Manager,37,account manager,
ANZ,Risk Analyst,14,risk analyst,
Liberty Mutual,Case Manager,27,case manager,
Huntington National Bank,IT Support Specialist,23,it support specialist,
Northern Trust Corporation,Senior Business Analyst,56,senior business analyst,
J.P. Morgan,Marketing Manager,20,marketing manager,
ConnectOne Bank,Intern,12,intern,
PNC,Fund Accountant,29,fund accountant,
Citi,Compensation Analyst,46,compensation analyst,
Heights Finance Corporation,Branch Manager,15,branch manager,
Citadel LLC,Software Engineer,18,software engineer,
